month,year,card,meaning,retrogrades,interpretation,affirmation,card_path
8,2026,"Strength","Strength, Courage, Compassion","Pluto (Transformation), Neptune (Spirituality), Saturn (Disipline & Habits), Chiron (Inner Reflection)","...","I treat myself with the same compassion I give to others","tarot-cards/major-arcana/Strength.webp"
7,2026,"Six of Pentacles","Six - Harmony, Peace, Balance /n Pentacles - Earth and Material World","...","...","I choose long-term security over short-term impulse","tarot-cards/Minor Arcana/Pentacles/Six-of-Pentacles.webp"
